,Unnamed: 0,Unnamed: 0.1,block_order,block_progressive_ID,block_stimuli,block_type,bonus_block_type,bonus_total,bonus_trial_correct,bonus_trial_number_chosen,choice_correct,choice_correct.1,left-0-right,participant_ID,setup_a1,setup_a2,setup_a3,setup_a4,setup_a5,setup_a6,setup_b1,setup_b2,setup_b3,setup_b4,setup_b5,setup_b6,side_chosen,start_position,total_left,total_right,treatment,trial_ID,trial_ID_block,waiting_elapsed
75,75.0,,1,0,2,4,,,,,0,0,0,1,11.0,85.0,21.0,36.0,37.0,30.0,76.0,66.0,58.0,29.0,23.0,46.0,0,0,220.0,298.0,2,0,0,516.7389999998268
76,76.0,,1,0,2,4,,,,,1,1,0,1,11.0,16.0,71.0,11.0,28.0,42.0,32.0,38.0,56.0,81.0,49.0,20.0,1,0,179.0,276.0,2,0,0,483.401000000094
77,77.0,,1,0,2,4,,,,,1,1,0,1,17.0,22.0,25.0,87.0,85.0,63.0,15.0,12.0,24.0,15.0,70.0,52.0,0,0,299.0,188.0,2,0,0,533.4080000000773
78,78.0,,1,0,2,4,,,,,1,1,0,1,83.0,45.0,25.0,28.0,51.0,78.0,27.0,28.0,63.0,29.0,11.0,11.0,0,0,310.0,169.0,2,0,0,433.3940000001108
79,79.0,,1,0,2,4,,,,,1,1,0,1,24.0,72.0,23.0,30.0,53.0,49.0,31.0,59.0,22.0,38.0,10.0,46.0,0,0,251.0,206.0,2,0,0,516.7390000000828
80,80.0,,1,0,2,4,,,,,0,0,0,1,20.0,11.0,12.0,26.0,45.0,21.0,10.0,36.0,21.0,32.0,40.0,39.0,0,0,135.0,178.0,2,0,0,2000.2800000000962
81,81.0,,1,0,2,4,,,,,1,1,0,1,16.0,10.0,48.0,33.0,34.0,25.0,12.0,35.0,19.0,53.0,55.0,45.0,1,0,166.0,219.0,2,0,0,483.4009999999311
82,82.0,,1,0,2,4,,,,,0,0,0,1,39.0,44.0,68.0,33.0,46.0,41.0,11.0,21.0,76.0,53.0,49.0,23.0,1,0,271.0,233.0,2,0,0,450.0629999998957
83,83.0,,1,0,2,4,,,,,1,1,0,1,44.0,25.0,34.0,80.0,15.0,66.0,32.0,68.0,21.0,21.0,69.0,32.0,0,0,264.0,243.0,2,0,0,500.0700000000887
84,84.0,,1,0,2,4,,,,,1,1,0,1,27.0,48.0,38.0,15.0,35.0,49.0,28.0,18.0,24.0,40.0,21.0,34.0,0,0,212.0,165.0,2,0,0,416.72500000000014
85,85.0,,1,0,2,4,,,,,1,1,0,1,10.0,27.0,18.0,49.0,13.0,23.0,23.0,17.0,63.0,10.0,18.0,12.0,1,0,140.0,143.0,2,0,0,816.7809999999823
86,86.0,,1,0,2,4,,,,,0,0,0,1,24.0,19.0,22.0,69.0,35.0,81.0,36.0,69.0,29.0,50.0,51.0,24.0,0,0,250.0,259.0,2,0,0,416.98239999993234
87,87.0,,1,0,2,4,,,,,1,1,0,1,29.0,46.0,66.0,41.0,35.0,22.0,22.0,10.0,33.0,30.0,32.0,22.0,0,0,239.0,149.0,2,0,0,500.0699999999256
88,88.0,,1,0,2,4,,,,,1,1,0,1,40.0,10.0,17.0,32.0,52.0,30.0,17.0,54.0,59.0,60.0,69.0,15.0,1,0,181.0,274.0,2,0,0,500.0700000000885
89,89.0,,1,0,2,4,,,,,0,0,0,1,33.0,14.0,44.0,65.0,23.0,38.0,18.0,31.0,50.0,11.0,42.0,57.0,1,0,217.0,209.0,2,0,0,500.0700000000883
90,90.0,,2,0,1,2,,,,,1,1,1,1,38.0,26.0,50.0,43.0,36.0,13.0,31.0,50.0,76.0,56.0,32.0,27.0,0,3,263.0,215.0,2,0,0,1100.1540000001437
91,91.0,,2,0,1,2,,,,,1,1,2,1,63.0,25.0,31.0,16.0,73.0,13.0,74.0,33.0,43.0,38.0,56.0,49.0,1,4,174.0,340.0,2,0,0,416.7250000000698
92,92.0,,2,0,1,2,,,,,1,1,1,1,46.0,42.0,48.0,50.0,47.0,65.0,18.0,67.0,34.0,39.0,35.0,25.0,1,1,228.0,288.0,2,0,0,483.4009999999312
93,93.0,,2,0,1,2,,,,,1,1,2,1,39.0,30.0,46.0,47.0,17.0,46.0,21.0,56.0,33.0,51.0,57.0,33.0,0,4,263.0,213.0,2,0,0,250.03499999991612
94,94.0,,2,0,1,2,,,,,0,0,1,1,39.0,13.0,23.0,12.0,27.0,34.0,41.0,77.0,16.0,15.0,39.0,28.0,1,1,185.0,179.0,2,0,0,250.03499999991612
95,95.0,,2,0,1,2,,,,,0,0,2,1,42.0,23.0,25.0,50.0,72.0,38.0,22.0,78.0,34.0,37.0,67.0,34.0,0,2,260.0,262.0,2,0,0,266.7039999999106
96,96.0,,2,0,1,2,,,,,1,1,1,1,59.0,53.0,89.0,21.0,56.0,11.0,34.0,74.0,40.0,16.0,36.0,14.0,0,3,314.0,189.0,2,0,0,266.7039999999106
97,97.0,,2,0,1,2,,,,,1,1,1,1,10.0,61.0,59.0,13.0,48.0,62.0,74.0,65.0,43.0,59.0,42.0,27.0,1,3,276.0,287.0,2,0,0,766.7739999999992
98,98.0,,2,0,1,2,,,,,0,0,2,1,59.0,16.0,33.0,34.0,52.0,72.0,30.0,16.0,45.0,34.0,22.0,32.0,0,2,204.0,241.0,2,0,0,333.3800000001443
99,99.0,,2,0,1,2,,,,,1,1,1,1,16.0,27.0,33.0,30.0,16.0,51.0,63.0,19.0,57.0,15.0,67.0,25.0,0,3,252.0,167.0,2,0,0,416.72500000011655
100,100.0,,2,0,1,2,,,,,1,1,2,1,15.0,40.0,25.0,42.0,18.0,36.0,16.0,26.0,57.0,53.0,25.0,66.0,0,4,263.0,156.0,2,0,0,683.683100000187
101,101.0,,2,0,1,2,,,,,1,1,2,1,28.0,25.0,15.0,43.0,39.0,15.0,40.0,14.0,45.0,50.0,54.0,76.0,0,2,223.0,221.0,2,0,0,383.38699999987153
102,102.0,,2,0,1,2,,,,,1,1,1,1,26.0,57.0,27.0,43.0,17.0,66.0,25.0,15.0,60.0,25.0,11.0,31.0,1,3,166.0,237.0,2,0,0,350.04900000006904
103,103.0,,2,0,1,2,,,,,0,0,1,1,25.0,32.0,54.0,24.0,68.0,56.0,13.0,63.0,12.0,39.0,20.0,14.0,0,3,192.0,228.0,2,0,0,1483.5410000000147
104,104.0,,2,0,1,2,,,,,1,1,1,1,44.0,72.0,20.0,37.0,30.0,50.0,10.0,18.0,24.0,13.0,59.0,32.0,1,1,187.0,222.0,2,0,0,433.39400000006447
105,105.0,,2,0,1,2,,,,,0,0,2,1,17.0,36.0,59.0,51.0,14.0,50.0,10.0,18.0,56.0,28.0,32.0,41.0,1,4,224.0,188.0,2,0,0,283.372999999905
106,106.0,,2,0,1,2,,,,,1,1,2,1,31.0,35.0,32.0,68.0,44.0,31.0,12.0,57.0,24.0,81.0,29.0,18.0,0,4,290.0,172.0,2,0,0,233.36599999992177
107,107.0,,2,0,1,2,,,,,1,1,1,1,19.0,10.0,35.0,33.0,24.0,41.0,66.0,45.0,36.0,52.0,65.0,40.0,0,1,245.0,221.0,2,0,0,283.37300000009134
108,108.0,,2,0,1,2,,,,,1,1,2,1,22.0,12.0,62.0,28.0,58.0,36.0,22.0,46.0,59.0,19.0,32.0,28.0,1,2,169.0,255.0,2,0,0,333.3800000000512
109,109.0,,2,0,1,2,,,,,1,1,2,1,60.0,20.0,41.0,46.0,29.0,19.0,62.0,37.0,50.0,22.0,19.0,56.0,1,2,200.0,261.0,2,0,0,933.4640000001297
110,110.0,,2,0,1,2,,,,,1,1,2,1,10.0,38.0,43.0,11.0,23.0,70.0,16.0,22.0,51.0,29.0,31.0,32.0,0,2,202.0,174.0,2,0,0,250.03499999991612
111,111.0,,2,0,1,2,,,,,1,1,1,1,16.0,27.0,33.0,30.0,16.0,51.0,63.0,19.0,57.0,15.0,67.0,25.0,0,1,252.0,167.0,2,0,0,233.36599999992177
112,112.0,,2,0,1,2,,,,,1,1,1,1,66.0,47.0,40.0,10.0,59.0,11.0,22.0,21.0,45.0,38.0,43.0,24.0,0,1,275.0,151.0,2,0,0,383.3870000001277
